109,Meitnérium,2-8-18-32-32-15-2,Mt,9,7,d,268,,,,,,,,1
110,Darmstadtium,2-8-18-32-32-17-1,Ds,10,7,d,281,,,,,,,,1
111,Roentgenium,2-8-18-32-32-18-1,Rg,11,7,d,280,,,,,,,,1
112,Copernicium,2-8-18-32-32-18-2,Cn,12,7,d,285,,,Rn 5f14 6d10 7s2,,,,,1
113,Ununtrium,2-8-18-32-32-18-3,Uut,13,7,d,284,,,,,,,,1
114,Flérovium,2-8-18-32-32-18-4,Fl,14,7,d,289,,,,,,,,1
115,Ununpentium,2-8-18-32-32-18-5,Uup,15,7,d,288,,,,,,,,1
116,Livermorium,2-8-18-32-32-18-6,Lv,16,7,d,293,,,,,,,,1
117,Ununseptium,2-8-18-32-32-18-7,Uus,17,7,d,291,,,,,,,,1
118,Ununoctium,2-8-18-32-32-18-8,Uuo,18,7,d,294,152 pm,,,,,,,1
